TrialNumber,SpeedUpTimeCalc,TrialStart,SpeedUpTimeAct,RespScreenOnset_to_Resp,StimOnset_to_Resp,Prestim_Interval
75,1.8448623265377,0,0,0,0,0
76,1.6025070861635,0,0,0,0,0
77,1.72873657450212,0,0,0,0,0
78,1.93118710364055,0,0,0,0,0
79,1.73014211890129,0,0,0,0,0
80,1.01098630877836,0,0,0,0,0
81,1.11664456337532,0,0,0,0,0
82,1.67517798590128,0,0,0,0,0
83,1.16694472886767,0,0,0,0,0
84,1.58369926888775,0,0,0,0,0
85,2.05366309622086,0,0,0,0,0
86,2.0046307776405,0,0,0,0,0
87,1.74888061983703,0,0,0,0,0
88,1.12294697301934,0,0,0,0,0
89,2.44205457523766,0,0,0,0,0
90,1.3279245126876,0,0,0,0,0
91,1.67401143637071,0,0,0,0,0
92,2.19462636387236,0,0,0,0,0
93,1.7127563668545,0,0,0,0,0
94,1.93719643444331,0,0,0,0,0
95,2.487162277754,0,0,0,0,0
96,1.48584959863423,0,0,0,0,0
97,1.08423671160685,0,0,0,0,0
98,1.89486369952921,0,0,0,0,0
99,2.21427827727262,0,0,0,0,0
100,1.1831017212833,0,0,0,0,0
101,2.13065245298084,0,0,0,0,0
102,2.44869790763457,0,0,0,0,0
103,1.76178566439131,0,0,0,0,0
104,2.08510341534024,0,0,0,0,0
105,1.73623582378938,0,0,0,0,0
106,1.64381560577647,0,0,0,0,0
107,1.57813355507409,0,0,0,0,0
108,1.84070437386463,0,0,0,0,0
109,2.31411385248274,0,0,0,0,0
110,2.18568454042871,0,0,0,0,0
111,1.72165099978131,0,0,0,0,0
112,2.12772947702004,0,0,0,0,0
113,1.98475878144625,0,0,0,0,0
114,2.39283484411609,0,0,0,0,0
115,2.020423487225,0,0,0,0,0
116,2.36513041872177,0,0,0,0,0
117,1.03176462381334,0,0,0,0,0
118,1.76527693715951,0,0,0,0,0
119,1.08946540316216,0,0,0,0,0
120,1.22539241380081,0,0,0,0,0
121,1.12168680337083,0,0,0,0,0
122,2.34210234463156,0,0,0,0,0
123,1.06832450638921,0,0,0,0,0
124,2.44022539777073,0,0,0,0,0
125,2.22971190161816,0,0,0,0,0
126,1.55137831840529,0,0,0,0,0
127,1.18138308762285,0,0,0,0,0
128,2.18324042715235,0,0,0,0,0
129,2.23231969155221,0,0,0,0,0
130,2.30558688063367,0,0,0,0,0
131,2.20284645443869,0,0,0,0,0
132,2.34549925651276,0,0,0,0,0
133,2.1039209112239,0,0,0,0,0
134,1.82709664636514,0,0,0,0,0
135,1.78204270879205,0,0,0,0,0
136,2.05453910845966,0,0,0,0,0
137,1.42484768980435,0,0,0,0,0
138,1.91846247368478,0,0,0,0,0
139,2.10527568189237,0,0,0,0,0
140,1.24830655888191,0,0,0,0,0
141,1.78145247326889,0,0,0,0,0
142,1.72302094158424,0,0,0,0,0
143,1.91169047495859,0,0,0,0,0
144,2.37599963298202,0,0,0,0,0
145,1.60032816471822,0,0,0,0,0
146,1.84307578736207,0,0,0,0,0
147,1.44765826071107,0,0,0,0,0
148,2.18933607708586,0,0,0,0,0
149,2.40249473605692,0,0,0,0,0
150,2.00339831218616,0,0,0,0,0
151,2.17835952301149,0,0,0,0,0
152,2.47791340291373,0,0,0,0,0
153,1.91890317243082,0,0,0,0,0
154,1.7616235246034,0,0,0,0,0
155,1.42837039435687,0,0,0,0,0
156,1.66599390471775,0,0,0,0,0
157,2.26693275743008,0,0,0,0,0
158,2.19032669747297,0,0,0,0,0
159,2.38005953645287,0,0,0,0,0
160,1.60826525692066,0,0,0,0,0
161,1.33989660165345,0,0,0,0,0
162,2.41118916007321,0,0,0,0,0
163,1.96467404805968,0,0,0,0,0
164,2.36816730318218,0,0,0,0,0
165,1.99002444858292,0,0,0,0,0
166,1.24186818626561,0,0,0,0,0
167,1.14296766878755,0,0,0,0,0
168,1.44641966966773,0,0,0,0,0
169,1.27218125100925,0,0,0,0,0
170,1.22222221634663,0,0,0,0,0
171,1.04946342715335,0,0,0,0,0
172,1.27469921843118,0,0,0,0,0
173,1.82562478275238,0,0,0,0,0
174,1.33048910446578,0,0,0,0,0
175,1.66461444314512,0,0,0,0,0
176,2.25340757401787,0,0,0,0,0
177,2.12801811378231,0,0,0,0,0
178,2.32667116277435,0,0,0,0,0
179,1.15700998239128,0,0,0,0,0
180,2.36245468449594,0,0,0,0,0
